RTsame00,RTsame01,RTsame10,RTsame11,RTsame20,RTsame21,RTdiff00,RTdiff01,RTdiff10,RTdiff11,RTdiff20,RTdiff21,ACCsame00,ACCsame01,ACCsame10,ACCsame11,ACCsame20,ACCsame21,ACCdiff00,ACCdiff01,ACCdiff10,ACCdiff11,ACCdiff20,ACCdiff21
0.653,0.715,0.635,0.698,0.711,0.708,0.669,0.651,0.613,0.678,0.69,0.682,0.956,0.925,0.985,0.985,0.896,0.92,1,0.985,0.981,0.981,0.962,0.929
0.594,0.556,0.554,0.59,0.618,0.569,0.576,0.566,0.499,0.576,0.554,0.604,1,1,0.986,1,0.966,0.889,0.981,0.982,0.98,0.952,0.952,0.864
0.554,0.602,0.506,0.569,0.74,0.632,0.553,0.603,0.529,0.534,0.835,0.693,0.981,0.982,0.983,0.925,0.938,0.899,0.985,0.954,0.984,0.981,0.839,0.882
0.551,0.588,0.573,0.599,0.619,0.609,0.542,0.595,0.571,0.671,0.618,0.669,1,1,0.915,0.862,0.859,0.804,1,0.94,0.967,0.782,0.875,0.813
0.546,0.604,0.501,0.457,0.596,0.593,0.606,0.652,0.554,0.51,0.609,0.654,1,0.985,1,0.981,0.981,0.943,0.985,0.981,1,1,0.97,0.96
0.577,0.571,0.505,0.537,0.676,0.645,0.577,0.596,0.547,0.627,0.673,0.728,0.985,1,0.965,1,0.905,0.86,1,1,1,1,0.947,0.914
0.511,0.553,0.583,0.545,0.63,0.554,0.584,0.572,0.583,0.516,0.615,0.669,1,0.981,1,0.964,0.95,0.906,0.981,0.985,1,1,0.933,0.955
0.728,0.706,0.643,0.762,0.784,0.75,0.736,0.781,0.666,0.684,0.742,0.741,0.982,0.931,0.982,0.906,0.871,0.925,0.984,0.952,0.969,0.97,0.88,0.866
0.61,0.606,0.592,0.705,0.682,0.705,0.7,0.678,0.602,0.607,0.719,0.647,0.984,0.985,1,0.966,0.926,0.953,0.982,1,1,0.984,0.894,0.911
0.612,0.626,0.608,0.646,0.626,0.68,0.59,0.626,0.585,0.582,0.622,0.635,0.97,0.924,0.981,0.984,0.927,0.881,1,0.963,0.985,0.947,0.954,0.906
0.587,0.587,0.536,0.539,0.614,0.633,0.611,0.559,0.545,0.487,0.621,0.56,1,0.967,0.982,0.944,0.898,0.871,1,0.983,1,1,0.873,0.948
0.556,0.535,0.499,0.521,0.552,0.628,0.562,0.59,0.508,0.536,0.57,0.55,1,0.948,1,0.98,0.982,0.943,1,1,0.982,0.986,0.968,0.96
0.623,0.59,0.472,0.53,0.557,0.638,0.555,0.548,0.485,0.517,0.598,0.642,0.981,0.971,0.964,0.969,0.867,0.881,1,0.962,1,0.964,0.95,0.887
0.568,0.615,0.621,0.593,0.677,0.675,0.568,0.568,0.621,0.641,0.699,0.723,0.985,1,0.985,0.953,0.926,0.918,1,1,0.925,0.946,0.909,0.881
0.641,0.619,0.618,0.511,0.653,0.629,0.743,0.675,0.597,0.608,0.728,0.52,0.964,0.862,0.984,0.902,0.93,0.843,0.969,0.935,0.912,0.855,0.873,0.9
0.504,0.569,0.517,0.497,0.52,0.59,0.6,0.613,0.481,0.428,0.572,0.548,0.925,0.909,0.898,0.866,0.906,0.87,0.91,0.954,0.82,0.962,0.929,0.863
0.469,0.476,0.424,0.458,0.55,0.568,0.458,0.496,0.45,0.48,0.509,0.582,1,0.97,1,1,0.911,0.938,1,0.962,0.983,0.985,0.938,0.857
0.587,0.592,0.481,0.527,0.619,0.553,0.564,0.582,0.573,0.51,0.691,0.563,0.981,0.981,1,0.984,0.927,0.952,0.985,0.985,0.951,0.983,0.908,0.947
0.616,0.66,0.598,0.537,0.612,0.705,0.65,0.639,0.695,0.579,0.739,0.69,0.926,0.864,0.857,0.651,0.83,0.9,0.939,0.685,0.859,0.754,0.851,0.771
0.589,0.602,0.52,0.528,0.515,0.532,0.642,0.668,0.539,0.508,0.533,0.644,0.97,0.923,1,1,0.917,0.811,0.981,0.897,1,0.938,0.933,0.851
0.534,0.546,0.523,0.611,0.478,0.722,0.503,0.601,0.566,0.665,0.56,0.682,1,0.982,0.982,0.899,0.743,0.825,1,0.985,0.969,0.922,0.86,0.81
0.706,0.725,0.801,0.73,0.746,0.79,0.755,0.733,0.771,0.637,0.749,0.783,1,0.868,0.97,0.864,0.94,0.92,0.981,0.94,0.906,0.944,0.925,0.9
0.547,0.595,0.564,0.546,0.666,0.699,0.558,0.603,0.608,0.577,0.619,0.767,1,1,0.984,0.955,0.92,0.94,0.982,0.966,0.982,1,0.9,0.906
0.636,0.597,0.509,0.614,0.653,0.631,0.588,0.572,0.545,0.631,0.634,0.691,1,0.986,0.97,0.984,0.944,0.967,1,1,1,0.982,0.955,0.881
