com00,com01,com10,com11,com20,com21
0.675,0.704,0.636,0.703,0.76,0.749
0.594,0.564,0.547,0.599,0.601,0.675
0.563,0.624,0.526,0.584,0.88,0.739
0.543,0.612,0.607,0.756,0.713,0.788
0.591,0.634,0.529,0.495,0.621,0.651
0.582,0.582,0.532,0.565,0.73,0.785
0.544,0.576,0.583,0.538,0.66,0.665
0.745,0.781,0.671,0.759,0.879,0.834
0.649,0.635,0.598,0.651,0.771,0.732
0.614,0.665,0.607,0.637,0.661,0.74
0.601,0.59,0.546,0.539,0.701,0.651
0.559,0.585,0.508,0.541,0.576,0.628
0.587,0.597,0.486,0.541,0.637,0.725
0.573,0.607,0.648,0.649,0.751,0.776
0.725,0.726,0.638,0.653,0.771,0.679
0.605,0.643,0.586,0.513,0.597,0.662
0.467,0.499,0.44,0.473,0.562,0.64
0.582,0.595,0.528,0.526,0.715,0.587
0.678,0.837,0.762,0.809,0.828,0.844
0.628,0.709,0.531,0.536,0.566,0.717
0.521,0.588,0.563,0.692,0.655,0.856
0.728,0.804,0.835,0.772,0.801,0.866
0.557,0.61,0.596,0.575,0.702,0.771
0.62,0.598,0.535,0.633,0.677,0.709
