RT0,RT1,RT2,Acc0,Acc1,Acc2
0.666,0.658,0.698,0.966,0.983,0.925
0.574,0.561,0.583,0.992,0.979,0.917
0.578,0.536,0.722,0.975,0.966,0.892
0.568,0.598,0.628,0.984,0.884,0.838
0.605,0.51,0.611,0.988,0.996,0.962
0.579,0.544,0.688,0.996,0.992,0.909
0.553,0.556,0.621,0.988,0.992,0.938
0.734,0.685,0.757,0.962,0.958,0.884
0.634,0.617,0.692,0.988,0.988,0.921
0.615,0.607,0.642,0.962,0.975,0.917
0.588,0.532,0.605,0.988,0.98,0.896
0.565,0.518,0.58,0.988,0.988,0.962
0.579,0.516,0.607,0.983,0.979,0.934
0.644,0.61,0.696,0.858,0.779,0.833
0.628,0.525,0.561,0.942,0.984,0.879
0.55,0.589,0.609,0.992,0.942,0.805
0.726,0.741,0.767,0.95,0.921,0.921
0.577,0.574,0.675,0.988,0.979,0.917
0.607,0.574,0.65,0.996,0.983,0.938
