RT00,RT01,RT10,RT11,RT20,RT21,Acc00,Acc01,Acc10,Acc11,Acc20,Acc21
0.658,0.674,0.625,0.691,0.703,0.693,0.975,0.958,0.983,0.983,0.925,0.925
0.589,0.559,0.538,0.584,0.576,0.591,0.992,0.992,0.983,0.975,0.958,0.875
0.553,0.603,0.517,0.555,0.785,0.659,0.983,0.967,0.983,0.95,0.892,0.892
0.559,0.57,0.504,0.532,0.562,0.597,1,0.975,0.992,0.983,0.975,0.95
0.572,0.585,0.515,0.517,0.656,0.558,0.983,0.983,0.975,0.983,0.917,0.95
0.633,0.655,0.654,0.566,0.697,0.696,0.933,0.783,0.858,0.7,0.842,0.825
0.612,0.644,0.531,0.518,0.524,0.597,0.975,0.908,1,0.967,0.925,0.833
0.521,0.578,0.549,0.628,0.519,0.699,1,0.983,0.975,0.908,0.792,0.817
0.722,0.73,0.787,0.695,0.747,0.786,0.992,0.908,0.942,0.9,0.933,0.908
0.553,0.6,0.586,0.561,0.637,0.713,0.992,0.983,0.983,0.975,0.908,0.925
0.62,0.593,0.526,0.622,0.643,0.656,1,0.992,0.983,0.983,0.95,0.925
