RTsame,RTdiff,ACCsame,ACCdiff
0.68,0.659,0.946,0.971
0.576,0.563,0.976,0.949
0.585,0.598,0.948,0.941
0.592,0.584,0.901,0.902
0.551,0.588,0.98,0.984
0.567,0.617,0.956,0.975
0.558,0.582,0.969,0.976
0.72,0.718,0.931,0.939
0.637,0.644,0.97,0.961
0.63,0.605,0.944,0.96
0.573,0.564,0.945,0.964
0.551,0.551,0.975,0.984
0.56,0.549,0.938,0.963
0.612,0.636,0.964,0.94
0.616,0.655,0.912,0.907
0.529,0.554,0.894,0.907
0.474,0.497,0.971,0.953
0.549,0.573,0.971,0.96
0.626,0.666,0.833,0.816
0.548,0.584,0.94,0.929
0.561,0.585,0.9,0.926
0.746,0.741,0.93,0.931
0.594,0.6,0.968,0.954
0.604,0.609,0.977,0.967
