RTsame,RTdiff,ACCsame,ACCdiff
0.643,0.677,0.937,0.964
0.553,0.578,0.974,0.958
NaN,0.592,NaN,0.944
0.62,0.574,0.916,0.896
0.539,0.581,0.989,0.98
0.569,0.596,0.947,0.971
0.588,0.567,0.961,0.975
0.697,0.726,0.929,0.937
NaN,0.64,NaN,0.965
0.606,0.625,0.952,0.951
0.563,0.57,0.954,0.954
0.563,0.548,0.995,0.973
NaN,0.555,NaN,0.95
NaN,0.621,NaN,0.953
0.647,0.635,0.934,0.901
0.543,0.541,0.93,0.888
0.484,0.484,0.964,0.962
NaN,0.563,NaN,0.965
0.648,0.647,0.82,0.825
0.594,0.561,0.954,0.929
0.595,0.564,0.891,0.92
0.704,0.761,0.937,0.928
0.602,0.595,0.96,0.962
NaN,0.606,NaN,0.972
