Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender
1,0,0,CFD-LF-212-066-N.jpg,NaN,1,Latino,Female
1,0,0,CFD-AM-201-076-N.jpg,NaN,1,Asian,Male
1,0,0,CFD-WF-025-019-N.jpg,NaN,0,White,Female
1,0,0,CFD-AF-243-170-N.jpg,NaN,1,Asian,Female
1,0,0,CFD-BF-208-266-N.jpg,NaN,1,Black,Female
1,0,0,CFD-WF-025-019-N.jpg,NaN,0,White,Female
1,0,0,CFD-LF-244-096-N.jpg,NaN,1,Latino,Female
1,0,0,CFD-WF-025-019-N.jpg,NaN,0,White,Female
1,0,0,CFD-WM-013-001-N.jpg,NaN,1,White,Male
1,0,0,CFD-WM-014-002-N.jpg,NaN,1,White,Male
